titulo,subtitulo,text,tags,urlRepo,urlDemo,urlOutro,urlImagem,entidades,autores
Análise de jogos de GoalBall utilizando Inteligência Artifical,Esse projeto tem a finalidade de criar um sistema capaz de analisar jogos de GoalBall em tempo real ou em vídeos gravados a fim de gerar um relatório contendo informações úteis para treinadores.,"O projeto teve como meta criar um sistema capaz de analisar partidas de Goalball — esporte paralímpico jogado por atletas com deficiência visual — em tempo real ou a partir de vídeos gravados. A partir da análise, o sistema gera relatórios com métricas e padrões de jogo que servem como insumo para treinadores tomarem decisões táticas e técnicas.

Por se tratar de um esporte com regras específicas (jogadores em quadra com olhos vendados rebatendo uma bola sonora), o desafio combina visão computacional com lógica de partido para extrair informações úteis do vídeo.

_Projeto da diretoria de Aplicação — período(s): 2023.2 — 4 integrantes._

---

Autores: Adriel Cabral, Cassiano Sabino, Ana Carolina Aguiar, Daniel Moreira",Aplicação;2023.2,,,,https://drive.google.com/thumbnail?id=1KLSHO95iLfBSc5cDysWhphIFsMciYaoj,TAIL,Adriel Cabral;Cassiano Sabino;Ana Carolina Aguiar;Daniel Moreira
MonitorAI,"O projeto foi desenvolvido como uma ferramenta para detecção de motoqueiros com e sem capacetes em tempo real nas imagens obtidas pela SEMOB-PB, utilizando um fine tune do YOLOv5, obtendo vários mi...","O MonitorAI foi desenvolvido como uma ferramenta para detecção de motoqueiros com e sem capacetes em tempo real, a partir de imagens cedidas pela SEMOB-PB (Superintendência de Mobilidade Urbana). O modelo principal é um YOLOv5 com fine-tuning, complementado por experimentos comparativos com Faster R-CNN.

Foram coletados vários minutos de filmagens de avenidas de João Pessoa para o conjunto de treinamento, e a equipe testou diversas abordagens de anotação e ajuste de hiperparâmetros para extrair o melhor desempenho dos modelos.

_Projeto da diretoria de Aplicação — período(s): 2022.1 — 7 integrantes._

---

Autores: Yann Nicholas, Caio Chacon, Carmem Neri, Jonas Felipe, Maria Eduarda Bandeira, Vitor de Sousa França, Yvson Nunes",Aplicação;2022.1,,,,,TAIL,Yann Nicholas;Caio Chacon;Carmem Neri;Jonas Felipe;Maria Eduarda Bandeira;Vitor de Sousa França;Yvson Nunes
Análise das ações versus o valor do IPCA,"A ideia era criar algo como um sistema de recomendações, a partir de valores de ações ao compará-los com o IPCA.","A ideia inicial era criar um sistema de recomendações a partir da relação entre os valores de ações e o IPCA. Como primeiro experimento, a equipe comparou o petróleo com o IPCA, esperando uma correlação alta — mas os resultados da Análise Exploratória de Dados (EDA) acabaram não suportando a hipótese, e o projeto foi reorientado.

A trajetória ilustra um ciclo comum em ciência de dados: formular uma hipótese, deixar os dados falarem e ajustar (ou abandonar) o caminho de acordo com o que a EDA mostra.

_Projeto da diretoria de Aplicação — período(s): 2022.1 — 8 integrantes._

---

Autores: Epitacio Pessoa, André Hugo, Arthur Ramón, Bruno Barros, Carine Barros, Edgard Henrique, Laís Silva, Raul Souza",Aplicação;2022.1,,,https://colab.research.google.com/drive/18oxDch52H9jxWrP8AKMlz6g4XK9x26wE,,TAIL,Epitacio Pessoa;André Hugo;Arthur Ramón;Bruno Barros;Carine Barros;Edgard Henrique;Laís Silva;Raul Souza
WaveFlow,O WaveFlow é uma aplicação que ajuda músicos e entusiastas à aproveitar o momento tocando seus instrumentos sem ter que se preocupar em rolar as páginas com a partitura.,"O WaveFlow é uma aplicação para músicos e entusiastas que querem tocar sem a fricção de ter que rolar páginas de partitura entre uma seção e outra. O sistema usa um modelo de classificação de acordes para acompanhar o que está sendo tocado e atualizar a interface conforme o instrumentista avança pela peça.

Além da aplicação principal, o projeto disponibiliza uma API independente com o serviço de classificação de acordes, permitindo que outros projetos integrem essa funcionalidade ao próprio fluxo.

_Projeto da diretoria de Aplicação — período(s): 2023.2, 2024.1 — 12 integrantes._

---

Autores: Guilherme Jácome, Ícaro Rodrigues, Felipe Arcela, Ciro Gomes, Davi Nasiasene, Felipe Lima, João Victor Dantas, José Augusto, Lucas Bitu, Nicholas Gabriel, Raffael Leobino, Tiago Trindade",Aplicação;2023.2;2024.1,,,,https://drive.google.com/thumbnail?id=1xqvEmlPwV0OzcgDIvkrMpF3VM007tj62,TAIL,Guilherme Jácome;Ícaro Rodrigues;Felipe Arcela;Ciro Gomes;Davi Nasiasene;Felipe Lima;João Victor Dantas;José Augusto;Lucas Bitu;Nicholas Gabriel;Raffael Leobino;Tiago Trindade
(Extra) Introdução a linguagem python aplicada a modelagem.,Foco em ensinar Python focado em modelagem.,"Material introdutório voltado a ensinar Python no contexto de modelagem estatística e Machine Learning. O conteúdo cobre os fundamentos de manipulação de dados e a lógica básica para construir modelos preditivos, servindo como ponto de partida para os novos integrantes da liga. O repositório com os notebooks está hospedado no GitHub da TAIL.

_Projeto da diretoria de Aplicação — período(s): 2021.1 — 3 integrantes._

---

Autores: Manuel Ferreira, André Castro, Yann Nicholas",Aplicação;2021.1,,,,https://drive.google.com/thumbnail?id=1d2D6oZG7Yt6YPKCeNKdbRUrn3NM81ChO,TAIL,Manuel Ferreira;André Castro;Yann Nicholas
Príncipe do pitAIco,Participação no desafio da Startup Rei do Pitaco.,"Participação no desafio organizado pela startup Rei do Pitaco, com foco na previsão dos resultados da Copa do Mundo de 2022. A equipe modelou as partidas usando dados históricos de seleções e métricas de desempenho para gerar previsões de placar e classificação dos jogos.

_Projeto da diretoria de Aplicação — período(s): 2022.2 — 11 integrantes._

---

Autores: Guilherme Jácome, Humberto Navarro, João Pedro Vasconcelos, Frankley Kaiky, Arthur Ramón, Carine Barros, Edgard Henrique, Gabriela Monteiro, Guilherme Huther, Marcelo Camilo, Victor Brasil",Aplicação;2022.2,https://github.com/TailUFPB/Principe-do-PitAIco,,,https://drive.google.com/thumbnail?id=1PA0d8p8WIwJ9WU2IO2a1gtXlhjyXuIu8,TAIL,Guilherme Jácome;Humberto Navarro;João Pedro Vasconcelos;Frankley Kaiky;Arthur Ramón;Carine Barros;Edgard Henrique;Gabriela Monteiro;Guilherme Huther;Marcelo Camilo;Victor Brasil
Recomendação de filmes pelo IMDB,"O projeto serviu para aplicar alguns conceitos relacionados à atividades feitas, anteriormente, junto com os conhecimentos que foram adquiridos durante a execução do projeto como: colinearidade, di...","Sistema de recomendação de filmes construído sobre dados do IMDB, usado como projeto-laboratório para consolidar conceitos vistos ao longo do semestre: colinearidade entre features, distância euclidiana e clustering com KMeans, entre outras técnicas. O resultado é um pipeline que parte da exploração dos dados até a recomendação propriamente dita.

_Projeto da diretoria de Aplicação — período(s): 2022.2 — 8 integrantes._

---

Autores: Epitacio Pessoa, Jonas Oliveira, Ana Carolina Aguiar, Ana Carolina Moura, Felipe Arcela, Leo Jaime, Nicholas Gabriel, Tiago Trindade",Aplicação;2022.2,,,https://colab.research.google.com/drive/19KzB2VQt_VdA4L6MOAPszJssB8iZIK7O?usp=sharing,https://drive.google.com/thumbnail?id=1QhSoKssdcfpSa7aMZRS05AMCldKqOkHH,TAIL,Epitacio Pessoa;Jonas Oliveira;Ana Carolina Aguiar;Ana Carolina Moura;Felipe Arcela;Leo Jaime;Nicholas Gabriel;Tiago Trindade
School Violence,"""Com o objetivo de extrair informações relevantes sobre a temática de violência nas escolas, a Diretoria de Trainees resolveu analisar um dataset americano que continha um registro histórico de 52 ...","Análise de um dataset americano com 52 anos de registros (2069 ocorrências) sobre violência em escolas. O estudo, feito pela Diretoria de Trainees, traçou perfis de atiradores, vítimas e estados, e avançou para uma análise preditiva inicial — explorando como informações históricas podem ajudar a entender padrões e fatores de risco associados a esse tipo de evento.

_Projeto da diretoria de Aplicação — período(s): 2023.1 — 7 integrantes._

---

Autores: Marília Brito, Jonas Oliveira, Gisele Silva, Hermano Neto, João Victor Dantas, Maria Eduarda Bandeira, Raffael Leobino",Aplicação;2023.1,https://github.com/mariliabrito/gunviolence,,,https://drive.google.com/thumbnail?id=1SrTqMR-Va9XD_DqzhEoVFFOqPFaZeglw,TAIL,Marília Brito;Jonas Oliveira;Gisele Silva;Hermano Neto;João Victor Dantas;Maria Eduarda Bandeira;Raffael Leobino
Sistema de identificação de pessoas no CI,Sistema de reconhecimento e classificação de pessoas com foco em aumentar a segurança de locais públicos.,"Sistema de reconhecimento e classificação de pessoas voltado para aumentar a segurança em locais públicos, com aplicação direta no Centro de Informática (CI) da UFPB. O projeto envolve detecção facial, comparação com uma base cadastrada e classificação do nível de acesso esperado em cada área.

_Projeto da diretoria de Aplicação — período(s): 2023.2 — 8 integrantes._

---

Autores: Caio Chacon, Guilherme Iram, George Paulino, João Paulo Borges, Leudo Neto, Pedro Luca Vaz, Rafael Melo, Samuel José Fernandes",Aplicação;2023.2,,,,https://drive.google.com/thumbnail?id=1Myig6cwapeEpgL6CYRXGLTnGoBQyePKs,TAIL,Caio Chacon;Guilherme Iram;George Paulino;João Paulo Borges;Leudo Neto;Pedro Luca Vaz;Rafael Melo;Samuel José Fernandes
PlantAI,Estufa para coentro que utiliza aprendizagem por reforço para minimizar o consumo de água e energia e maximiza o bem estar da planta.,"Estufa para coentro que utiliza aprendizagem por reforço para minimizar o consumo de água e energia, ao mesmo tempo em que maximiza o bem-estar da planta. Sensores monitoram condições ambientais e de irrigação, e um agente RL aprende quando ativar bombas, lâmpadas e ventilação para manter o cultivo saudável de forma eficiente.

_Projeto da diretoria de Aplicação — período(s): 2022.1 — 7 integrantes._

---

Autores: Guilherme Jácome, Pedro Sotero, Bárbara Pedroso, Deivison Rodrigues, Josenildo Simão, Matheus Melo, Rafael Melo",Aplicação;2022.1,https://github.com/TailUFPB/PlantAI,,,https://drive.google.com/thumbnail?id=1a4H-YDV8XbvEFSJ-E26W8yUBqSgpRwul,TAIL,Guilherme Jácome;Pedro Sotero;Bárbara Pedroso;Deivison Rodrigues;Josenildo Simão;Matheus Melo;Rafael Melo
