course_name,curriculum_code,discipline_code,discipline_name,period,type,workload_total,theory_hours,practice_hours,department,modality,prerequisites,equivalences,syllabus
CIÊNCIA DA COMPUTAÇÃO,001.112023,1106161,BASES DA EDUCAÇÃO AMBIENTAL,0º Nível,Optativa,60,60,,CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA,Presencial,,,"A evolução histórica e teórica da Educação Ambiental. Complexidade ambiental. Princípios e estratégias de educação ambiental. A Educação Ambiental como eixo do Desenvolvimento Sustentável. Características, funções e objetivos da Educação Ambiental para o Desenvolvimento Sustentável. Linhas de atuação: Cultura e valores ambientais."
CIÊNCIA DA COMPUTAÇÃO,001.112023,1205042,SOCIOLOGIA DA INFORMAÇÃO,0º Nível,Optativa,60,60,,CCSA - DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO,Presencial,,,"O debate sociológico da modernidade e pós-modernidade e a mudança do paradigma do livro para a informação. Informação e mudança social. A sociedade da informação e do conhecimento e o impacto das redes. Estado, democracia e políticas de informação. Informação e cidadania: democratização, ação cultural, condições de acesso e exclusão informacional."
CIÊNCIA DA COMPUTAÇÃO,001.112023,1401134,INTRODUÇÃO À SOCIOLOGIA,0º Nível,Optativa,60,60,,CCHLA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,Presencial,,,"O contexto histórico de aparecimento da sociologia. A sociologia, seu objetivo e seus métodos. Conceitos fundamentais. Análise da sociedade brasileira. Elementos da sociologia aplicada: questões específicas."
CIÊNCIA DA COMPUTAÇÃO,001.112023,1402154,FILOSOFIA DAS CIÊNCIAS,0º Nível,Optativa,60,60,,CCHLA - DEPARTAMENTO DE FILOSOFIA,Presencial,,,Ciências formais e ciências da empiria. Teorias científicas. A validação dos enunciados das ciências empíricas. Diversidade dos métodos e a possibilidade de uma unidade de visão científica.
CIÊNCIA DA COMPUTAÇÃO,001.112023,1404138,LINGUA INGLESA I,0º Nível,Optativa,75,75,,CCHLA - DEPARTAMENTO DE LETRAS ESTRANGEIRAS E MODERNAS,Presencial,,,"Leitura e compreensão de textos autênticos em Língua Inglesa, tendo como suporte teórico as técnicas e estratégias do ESP (English for Specific purposes) apresentadas e exercitadas de forma gradual e sistemática."
CIÊNCIA DA COMPUTAÇÃO,001.112023,1405108,INTRODUÇÃO À PSICOLOGIA,0º Nível,Optativa,60,60,,CCHLA - DEPARTAMENTO DE PSICOLOGIA,Presencial,,,"ALTERADA EM CONFORMIDADE COM A RESOLUÇÃO Nº 70/2025 - CONSEPE: Sistematização histórica: Estruturalismo; Funcionalismo; Behaviorismo; Gestalt, psicanálise, Método Experimental. Estudo de caso. Os Testes. Atividades Profissionais dos Psicólogos. Áreas de Especialização da Psicologia; Psicologia Animal, Psicologia do Desenvolvimento, Psicologia Clínica, Psicologia Diferencial, Psicologia Educacional e da Psicologia do Trabalho. ANTERIORMENTE: Sistematização histórica: estruturalismo, funcionalismo, behaviorismo, gestalt, psicanálise. Métodos: experimental, estudo de campo, testes. Atividades profissionais dos psicólogos. Áreas de especialização da psicologia: psicologia animal, psicologia do desenvolvimento, clínica, diferencial, educacional e industrial."
CIÊNCIA DA COMPUTAÇÃO,001.112023,1414047,EDIÇÃO DE VÍDEO I,0º Nível,Optativa,60,60,,CCHLA - DEPARTAMENTO DE MÍDIAS DIGITAIS,Presencial,,,"Edição de vídeo: principais conceitos. Tecnologias analógica vs digital; edição linear, não linear, on-line e off-line. Planejamento e organização da edição do filme conforme o roteiro. Captura e digitalização de vídeos (manual e programada). Importando/convertendo arquivos vídeos para edição. Pré-visualização. Formatos de codificação. Aspect ratio. Workflow. Timecode. Criação e utilização de assets e arquivos proxy. Edição de vídeo: fundamentos. Aparando vídeo clips. Rearranjando seqüências. Visualizando seqüências. Renderização. Exportando os vídeos."
CIÊNCIA DA COMPUTAÇÃO,001.112023,1501184,DIREITOS HUMANOS,0º Nível,Optativa,60,60,,CCJ - DEPARTAMENTO DE DIREITO PÚBLICO,Presencial,,,Antecedentes históricos e políticos. Questões conceituais. Impacto da proteção dos direitos humanos. Mecanismos internacionais de proteção aos direitos humanos. Direitos específicos.
CIÊNCIA DA COMPUTAÇÃO,001.112023,DADM00249,ADMINISTRAÇÃO PARA CIÊNCIAS EXATAS E TECNOLÓGICAS I,0º Nível,Optativa,60,45,15,CCSA - DEPARTAMENTO DE ADMINISTRACAO,Presencial,,,"Fundamentos conceituais da administração e das organizações. A evolução do pensamento em administração. Ambiente organizacional. Processo decisório e tomada de decisão em administração. Atividades do processo gerencial (planejamento, organização, direção e controle). Principais funções organizacionais. Tópicos e vivência contemporâneos em administração para ciências exatas e tecnológicas (gestão de conflitos, negociação, empreendedorismo, tendências gerenciais...)."
CIÊNCIA DA COMPUTAÇÃO,001.112023,DCOC00063,TÓPICOS AVANÇADOS EM CIÊNCIA DA COMPUTAÇÃO XI,0º Nível,Optativa,60,40,20,CI - DEPARTAMENTO DE COMPUTAÇÃO CIENTÍFICA,Presencial,,,"Tópicos avançados na área de ciência da computação, segundo tendências atuais na área e que não estejam presentes em outra disciplina do curso."
