titulo,subtitulo,text,tags,urlRepo,urlDemo,urlOutro,urlImagem,entidades,autores
(Extra) Introdução a linguagem python aplicada a modelagem.,Foco em ensinar Python focado em modelagem.,"Material introdutório voltado a ensinar Python no contexto de modelagem estatística e Machine Learning. O conteúdo cobre os fundamentos de manipulação de dados e a lógica básica para construir modelos preditivos, servindo como ponto de partida para os novos integrantes da liga. O repositório com os notebooks está hospedado no GitHub da TAIL.

_Projeto da diretoria de Aplicação — período(s): 2021.1 — 3 integrantes._

---

Autores: Manuel Ferreira, André Castro, Yann Nicholas",Aplicação;2021.1,,,,,TAIL,
AIpp,"Esse projeto consistiu na criação de uma plataforma que faz uma automatização de análise de sentimentos de reviews de aplicativos da Play Store, capaz de filtrar as principais avaliações e comentár...","Plataforma que automatiza a análise de sentimentos sobre reviews de aplicativos da Play Store. A solução filtra as avaliações mais relevantes, extrai metadados e identifica os principais pontos positivos e negativos mencionados pelos usuários — entregando uma visão consolidada útil para times de produto e times de mercado.

_Projeto da diretoria de Aplicação — período(s): 2023.1 — 6 integrantes._

---

Autores: Tales Nobre, Jonas Gabriel, Daniel Moreira, Ícaro Rodrigues, Maria Eduarda Donato, Taylor Klaus",Aplicação;2023.1,https://github.com/TailUFPB/AIpp,,,,TAIL,
Chatbot Finanças,Chatbot para apoiar decisões de investimento e gestão financeira pessoal.,"Chatbot voltado a investimentos e gestão financeira pessoal. A proposta é guiar o usuário em decisões do dia a dia — onde alocar recursos, como organizar receitas e despesas, quais conceitos básicos entender antes de partir para alocações mais sofisticadas — em uma conversa direta, sem que ele precise navegar por relatórios ou planilhas.

A interface conversacional reduz a barreira de entrada para quem está começando a tomar conta da própria vida financeira: a pessoa pergunta o que quiser e o chatbot responde com explicações acessíveis, comparações entre opções e orientações práticas, sem o ruído típico de portais de finanças cheios de banners e jargão.

---

Autores: Júlio César, Felipe Duarte",,,,,,TRIL,
Classificação de Empenhos,Classificação automática de empenhos dos municípios da Paraíba.,"Classificação automática de empenhos (ordens de pagamento) emitidos pelos municípios da Paraíba, desenvolvido em parceria com o Tribunal de Contas do Estado (TCE-PB). A solução analisa as descrições e metadados de cada empenho e atribui automaticamente a categoria correta de gasto público.

Para o TCE, a classificação automatizada reduz drasticamente o tempo necessário para análises agregadas dos gastos municipais — visualizações por categoria, comparações entre municípios e detecção de inconsistências passam a estar a poucos cliques de distância em vez de exigir tagging manual de milhares de registros.

_Projeto concluído, em parceria com o TCE-PB._",Ciência de Dados;Classificação;Governo;IA,,,,,ARIA,
Cobra,Aplicativo móvel que identifica a espécie de serpente a partir de uma foto e indica a unidade médica mais próxima com o soro antiofídico adequado.,"## Sobre o projeto

Cobra é um aplicativo móvel pensado para situações de emergência envolvendo picadas de serpente. Com uma foto da cobra, o app responde com a espécie provavelmente identificada e indica a unidade médica mais próxima que dispõe do soro antiofídico apropriado para aquele tipo de picada.

## Como funciona

A identificação se apoia em visão computacional — um modelo treinado para classificar espécies de serpentes a partir de imagens. Uma vez identificada a espécie, o app cruza essa informação com uma base de unidades de saúde para apontar onde o soro adequado está disponível, agilizando uma decisão que costuma ser crítica nos primeiros minutos após o acidente.

A combinação importa porque o atendimento ideal depende da espécie: cada tipo de soro funciona contra um conjunto específico de venenos, e nem toda unidade carrega todos os tipos. Identificar a cobra no campo e ir direto ao serviço correto pode reduzir significativamente o tempo até o tratamento adequado.

## Limitações e contexto

A acurácia do modelo depende da qualidade da foto e da representatividade da espécie no conjunto de treinamento — espécies raras ou em ângulos atípicos são mais difíceis de classificar com confiança. Por isso o app é pensado como um complemento ao atendimento profissional, nunca como um substituto: a recomendação é sempre buscar avaliação médica imediata, mesmo quando a identificação no app for incerta.

---

Autores: João Dantas, Juan Apolinario, Puca, José Augusto",Saúde;Mobile;Visão Computacional,,,,,TRIL,
Debyte!,O Debyte!,"O Debyte! é uma série de análises construídas a partir de léxicos extraídos dos discursos políticos dos membros do congresso federal. A partir desses léxicos, a equipe explora padrões de linguagem, temas recorrentes e diferenças entre grupos — usando NLP como ferramenta para entender o discurso político brasileiro.

_Projeto da diretoria de Aplicação — período(s): 2022.2 — 8 integrantes._

---

Autores: Victoria Grisi, Yhasmin Tigre, Anna Carolina, Carmem Neri, Gabriel de Jesus, Jonas Felipe, Maura Chaves, Samila Garrido",Aplicação;2022.2,,,https://voczie.notion.site/Debyte-2d1654954d6f484f8643280c436ae7aa?pvs=74,,TAIL,
Desenvolvimento Inicial do Site,"Planejamento de como o novo site da TAIL seria desenvolvido, assim como a prototipação.","Planejamento e prototipação do novo site da TAIL. A iteração inicial mapeou requisitos, fluxos de navegação e identidade visual, deixando o terreno preparado para o desenvolvimento técnico subsequente.

_Projeto da diretoria de Aplicação — período(s): 2022.2 — 6 integrantes._

---

Autores: Victor Brasil, Gabriel Araújo, Bianca Lira, Ciro Gomes, Fernanda Fernandes, Vitor Zimbrunes",Aplicação;2022.2,,,,,TAIL,
Detecção de fraude fiscal,NLP e IA para detecção de fraude fiscal e monitoramento de cargas.,"Aplicação de NLP e IA na detecção de fraude fiscal e no monitoramento de cargas em circulação na Paraíba. O projeto, em parceria com a Secretaria de Estado da Fazenda da Paraíba (SEFAZ-PB), processa documentos fiscais em larga escala para identificar padrões suspeitos — desde notas fiscais com inconsistências até esquemas de circulação de mercadorias que apontam para sonegação.

A combinação de processamento de linguagem natural com modelos preditivos permite triagem automatizada do volume de documentos que a Receita estadual recebe diariamente, redirecionando o tempo dos auditores humanos para os casos de maior potencial.

_Projeto ativo, em parceria com a SEFAZ-PB._",Fraude Fiscal;Governo;IA;NLP,,,,,ARIA,
Ecoverse,O projeto visa emular uma cadeia alimentar simples a partir de agentes de aprendizado por reforço.,"Simulação de uma cadeia alimentar simples emulada por agentes de Aprendizado por Reforço. Cada espécie é um agente com sua função-objetivo (sobreviver, reproduzir, evitar predadores) e o ambiente evolui conforme os agentes interagem entre si — permitindo observar dinâmicas emergentes próximas a modelos predador-presa.

_Projeto da diretoria de Aplicação — período(s): 2024.1 — 6 integrantes._

---

Autores: Daniel Moreira, Nicholas Gabriel, Antonio Isaac Araújo Firmino de Sousa, Gabriel Ayres Bezerra do Nascimento, Rômulo Henrique Nascimento Duarte, Thiago Rodrigues",Aplicação;2024.1,,,,,TAIL,
Enetrix — Data Diplomacy,Plataforma para registro e monitoramento de cooperação energética.,"Plataforma para o registro e monitoramento de iniciativas de cooperação energética, em ciência de dados aplicada à diplomacia entre nações no setor de energia. O sistema centraliza informações sobre acordos, projetos conjuntos e métricas de cooperação, permitindo análise comparativa entre países e ao longo do tempo.

A camada de dados torna visível o que historicamente ficava disperso em relatórios isolados — viabilizando análises e dashboards para tomadores de decisão na área de relações internacionais e energia.

_Projeto concluído._",Ciência de Dados;Energia;Monitoramento;Plataforma,,,,,ARIA,
EstudoPlay,"Aplicativo móvel e plataforma de correção automática de redações por IA, hoje em mais de 2 mil escolas estaduais de Minas Gerais e detentora do recorde mundial Guinness de redações manuscritas corrigidas por IA em um único mês.","## Sobre o produto

A EstudoPlay é um aplicativo móvel e uma plataforma de correção automática de redações por inteligência artificial. O sistema foi pensado para operar em escala: o aluno escreve a redação à mão, fotografa o texto pelo app e, em poucos minutos, recebe sua nota e um feedback alinhado aos critérios do Enem. O professor, por sua vez, recebe relatórios agregados da turma e individuais por aluno.

A solução combina dois ingredientes pouco usuais juntos no mercado: aceitar a redação manuscrita — mantendo o ritual de produção textual em papel que ainda é dominante na sala de aula — e devolver uma avaliação consistente e padronizada em segundos.

## Adoção em rede pública

A EstudoPlay foi vendida primeiro à rede estadual de Minas Gerais e está hoje disponível em mais de 2 mil escolas estaduais do estado, alcançando milhares de alunos da rede pública. No primeiro simulado em larga escala, o sistema corrigiu 150 mil redações em apenas 5 dias — um volume e uma velocidade impossíveis de obter por correção manual.

A integração do produto à rotina das escolas viabilizou algo antes impraticável: feedback rápido em volume. Cada estudante recebe sua nota e cada professor recebe um relatório personalizado da turma e por aluno, apontando os pontos a trabalhar individualmente.

> ""O professor recebe um relatório de toda sua turma que realizou o simulado e especificamente personalizado também de cada estudante. A partir disso, pode até direcionar mais o trabalho do estudante às atividades que ele precisa estudar ao longo dos dias.""
> — Kellen Silva Senra, subsecretária de educação básica de Minas Gerais (Jornal Nacional, julho de 2024).

Reportagem completa: https://g1.globo.com/jornal-nacional/noticia/2024/07/20/escolas-publicas-usam-inteligencia-artificial-para-ajudar-alunos-com-redacoes-em-mg.ghtml

## Recorde mundial Guinness

Em abril de 2026, a EstudoPlay foi reconhecida pelo Guinness World Records como detentora do maior volume de redações manuscritas corrigidas por inteligência artificial em um único mês. O recorde foi conquistado no contexto do Projeto Enem MG, em parceria com a Secretaria de Estado de Educação de Minas Gerais, com cerca de 461.100 redações corrigidas entre setembro e outubro de 2025.

No total, o sistema da EstudoPlay já processou perto de 5 milhões de redações manuscritas — número que, em volume, posiciona a empresa como referência mundial na aplicação de IA para avaliação textual em larga escala.

Reportagem do G1 Paraíba sobre o recorde: https://g1.globo.com/pb/paraiba/noticia/2026/04/11/empresa-da-paraiba-e-reconhecida-pelo-guinness-com-recorde-mundial-de-correcao-de-redacoes-com-ia.ghtml

---

Autores: Felipe Duarte, Nicholas Rodrigues, José Augusto, Guilherme Huther, Tiago Trindade",Educação;EdTech;Redação,,,https://g1.globo.com/pb/paraiba/noticia/2026/04/11/empresa-da-paraiba-e-reconhecida-pelo-guinness-com-recorde-mundial-de-correcao-de-redacoes-com-ia.ghtml,,TRIL,
Gestok,Gestão de estoque integrada ao WhatsApp — todo o CRUD por meio de um agente inteligente no app.,"Gestok é um sistema de gerenciamento de estoque inovador que oferece praticidade e eficiência ao integrar suas funcionalidades diretamente ao WhatsApp. Com o Gestok, você pode realizar todo o CRUD (criação, leitura, atualização e exclusão) de itens do estoque de forma simples e rápida, utilizando um agente inteligente.

Esse agente automatiza as operações, permitindo gerenciar o estoque diretamente pelo WhatsApp, sem a necessidade de acessar sistemas complexos. Ideal para empresas que buscam agilidade e tecnologia acessível no controle de seus produtos.",Estoque;WhatsApp;Agentes,,,,,CortechX,
IAbstract,"Dado um artigo científico, gerar o seu abstract, as palavras-chave e o título.","Ferramenta que recebe um artigo científico e gera automaticamente o seu abstract, um conjunto de palavras-chave e um título sugerido. O objetivo é apoiar pesquisadores no momento de redação e na organização de portfólios de publicações, oferecendo um primeiro rascunho razoável a partir do conteúdo.

_Projeto da diretoria de Aplicação — período(s): 2022.2 — 8 integrantes._

---

Autores: Caio Chacon, Marília Brito, George Paulino, Lucas Bitu, Marcelo Cavalcante, Pedro Sotero, Ralf Dewrich, Vito Elias",Aplicação;2022.2,https://github.com/ralfferreira/iabstract,,,,TAIL,
Introdução a matemática para ML,Foco em mostrar a matemática por trás da modelagem e da IA.,"Trilha educativa com foco em mostrar a matemática que sustenta modelos estatísticos e de Inteligência Artificial. O conteúdo cobre álgebra linear, cálculo, probabilidade e estatística no contexto em que aparecem na prática de modelagem — para que os integrantes desenvolvam intuição além de aplicar fórmulas.

_Projeto da diretoria de Educativo — período(s): 2020.2 — 1 integrantes._

---

Autores: Manuel Ferreira",Educativo;2020.2,,,,,TAIL,
Menu Digital,Menu digital completo para restaurantes e delivery — navegação intuitiva e pedidos pelo aplicativo.,"Sistema de menu digital completo para restaurantes e delivery, oferecendo uma experiência moderna e intuitiva para clientes. O sistema permite navegação fácil pelos pratos, visualização de preços, descrições detalhadas e pedidos diretos pelo aplicativo.

Desenvolvido com foco na experiência do usuário, otimiza o processo de pedidos tanto para estabelecimentos físicos quanto para delivery online — reduzindo tempo de atendimento e centralizando o cardápio em um só canal.",Restaurantes;Delivery;Mobile,,,,,CortechX,
OCR Enetrix,O projeto consiste na criancao de uma api para transcrição de acordos energéticos.,"O projeto consiste em uma API para transcrição de acordos energéticos a partir de imagens. A ferramenta combina reconhecimento óptico de caracteres com uma camada de validação capaz de apontar erros prováveis na transcrição e propor correções, reduzindo o esforço manual de revisão pós-OCR.

_Projeto da diretoria de Aplicação — período(s): 2024.1 — 6 integrantes._

---

Autores: Jonas Felipe, João Paulo Borges, Isaac Sebastian, Victor Marques, Vivianny Khatly, Wendson Carlos Souza da Silva",Aplicação;2024.1,,,,,TAIL,
