titulo,subtitulo,text,tags,urlRepo,urlDemo,urlOutro,urlImagem,entidades,autores
Chatbot integrado com banco de dados (Zoox),Chatbot em linguagem natural sobre o banco de dados da Zoox para apoiar análises de varejo.,"Chatbot desenvolvido para conversar com o banco de dados da Zoox. A ferramenta foi pensada principalmente para pessoas do varejo que precisam entender o cenário competitivo: análise de concorrência, comparações por região, identificação de bons pontos para abrir negócios e outras consultas estratégicas.

A ideia era abstrair a complexidade da consulta SQL — o usuário faz uma pergunta em linguagem natural sobre o mercado, e o chatbot traduz, executa e devolve uma resposta interpretável. Isso aproxima a base de dados do dia a dia das equipes comerciais, sem que elas precisem de conhecimento técnico para extrair insights.

---

Autores: Tiago Trindade, Guilherme Huther, Júlio César",,,,,,TRIL,Tiago Trindade;Guilherme Huther;Júlio César
Sistema de login por scan facial (Zoox),Autenticação por reconhecimento facial integrada à plataforma da Zoox usando serviços de visão da AWS.,"Sistema de autenticação por reconhecimento facial integrado à plataforma da Zoox. A solução foi construída sobre os serviços de visão da AWS, permitindo que os usuários acessem a plataforma por meio do scan facial — substituindo ou complementando o login tradicional por senha.

A integração com a infraestrutura existente foi central: cadastro do rosto, comparação contra a base e o fluxo de autenticação propriamente dito tinham que se encaixar no que a Zoox já tinha em produção.

---

Autores: Filipe Trindade, Felipe Duarte",,,,,,TRIL,Filipe Trindade;Felipe Duarte
Integração de micro-projetos de IA em sistema (Zoox),"Conjunto de ferramentas de IA — geração de imagens, hipersegmentação de varejo e dashboards dinâmicos — integradas ao sistema da Zoox.","Conjunto de micro-projetos de IA integrados à plataforma da Zoox para enriquecer a experiência dos usuários. Entre as ferramentas desenvolvidas estavam geração de imagens sob demanda, hipersegmentação voltada ao varejo (cruzando dados de cliente e mercado para criar segmentos altamente granulares) e dashboards interativos gerados dinamicamente a partir das consultas dos usuários.

Em vez de uma única feature monolítica, o trabalho foi estruturado como uma série de pequenas peças de IA que entravam em produção conforme amadureciam — permitindo iteração rápida e validação contínua junto ao time da Zoox.

---

Autores: Puca, Felipe Lima",,,,,,TRIL,Puca;Felipe Lima
Chatbot Finanças,Chatbot para apoiar decisões de investimento e gestão financeira pessoal.,"Chatbot voltado a investimentos e gestão financeira pessoal. A proposta é guiar o usuário em decisões do dia a dia — onde alocar recursos, como organizar receitas e despesas, quais conceitos básicos entender antes de partir para alocações mais sofisticadas — em uma conversa direta, sem que ele precise navegar por relatórios ou planilhas.

A interface conversacional reduz a barreira de entrada para quem está começando a tomar conta da própria vida financeira: a pessoa pergunta o que quiser e o chatbot responde com explicações acessíveis, comparações entre opções e orientações práticas, sem o ruído típico de portais de finanças cheios de banners e jargão.

---

Autores: Júlio César, Felipe Duarte",,,,,,TRIL,Júlio César;Felipe Duarte
Humanify,"Chatbot de Slack que faz pesquisas de sentimento anônimas em workspaces — projeto construído para o hackathon da Dock.","Humanify é uma solução de IA construída para o hackathon da Dock, empresa de tecnologia financeira. O projeto entra em workspaces do Slack como um chatbot que conversa diretamente com os colaboradores e conduz pesquisas de sentimento sobre o ambiente de trabalho — coletando feedbacks de forma anônima e automática.

Diferente das pesquisas de clima tradicionais, em que o RH dispara um formulário e espera respostas, o Humanify é acionado por alguém do RH e inicia as conversas individuais por conta própria. Os resultados são agregados e disponibilizados para o time de RH visualizar, preservando o anonimato dos respondentes e oferecendo uma leitura mais constante e qualitativa sobre como o time está se sentindo.

---

Autores: Guilherme Huther, Tiago Trindade, Felipe Duarte, Davi Nasiasene, Nicholas Rodrigues, Juan Apolinario, Erlon, Adriel",,,,https://www.instagram.com/p/C1aJX5Zp7Z0/,,TRIL,Guilherme Huther;Tiago Trindade;Felipe Duarte;Davi Nasiasene;Nicholas Rodrigues;Juan Apolinario;Erlon;Adriel
Chatbot Vendas,Chatbot de dropshipping que automatiza vendas e mantém uma planilha de gestão de clientes em larga escala.,"Chatbot voltado a operações de dropshipping. A ferramenta automatiza o processo de venda de produtos específicos: conduz a conversa com o cliente, encaminha pedidos e popula automaticamente uma planilha que centraliza as informações comerciais — permitindo ao vendedor acompanhar e gerenciar uma carteira de clientes em larga escala sem perder o controle individual de cada negociação.

A combinação do chatbot (na ponta da conversa) com a planilha (na ponta da operação) reduz o esforço humano em duas frentes simultaneamente: a abordagem inicial e o acompanhamento — liberando o vendedor para dedicar tempo aos casos que realmente exigem atenção dedicada.

---

Autores: Tiago Trindade, Felipe Duarte, Davi Nasiasene, Filipe Trindade, João Marcos, Puca",,,,,,TRIL,Tiago Trindade;Felipe Duarte;Davi Nasiasene;Filipe Trindade;João Marcos;Puca
EstudoPlay,"Aplicativo móvel e plataforma de correção automática de redações por IA, hoje em mais de 2 mil escolas estaduais de Minas Gerais e detentora do recorde mundial Guinness de redações manuscritas corrigidas por IA em um único mês.","## Sobre o produto

A EstudoPlay é um aplicativo móvel e uma plataforma de correção automática de redações por inteligência artificial. O sistema foi pensado para operar em escala: o aluno escreve a redação à mão, fotografa o texto pelo app e, em poucos minutos, recebe sua nota e um feedback alinhado aos critérios do Enem. O professor, por sua vez, recebe relatórios agregados da turma e individuais por aluno.

A solução combina dois ingredientes pouco usuais juntos no mercado: aceitar a redação manuscrita — mantendo o ritual de produção textual em papel que ainda é dominante na sala de aula — e devolver uma avaliação consistente e padronizada em segundos.

## Adoção em rede pública

A EstudoPlay foi vendida primeiro à rede estadual de Minas Gerais e está hoje disponível em mais de 2 mil escolas estaduais do estado, alcançando milhares de alunos da rede pública. No primeiro simulado em larga escala, o sistema corrigiu 150 mil redações em apenas 5 dias — um volume e uma velocidade impossíveis de obter por correção manual.

A integração do produto à rotina das escolas viabilizou algo antes impraticável: feedback rápido em volume. Cada estudante recebe sua nota e cada professor recebe um relatório personalizado da turma e por aluno, apontando os pontos a trabalhar individualmente.

> ""O professor recebe um relatório de toda sua turma que realizou o simulado e especificamente personalizado também de cada estudante. A partir disso, pode até direcionar mais o trabalho do estudante às atividades que ele precisa estudar ao longo dos dias.""
> — Kellen Silva Senra, subsecretária de educação básica de Minas Gerais (Jornal Nacional, julho de 2024).

Reportagem completa: https://g1.globo.com/jornal-nacional/noticia/2024/07/20/escolas-publicas-usam-inteligencia-artificial-para-ajudar-alunos-com-redacoes-em-mg.ghtml

## Recorde mundial Guinness

Em abril de 2026, a EstudoPlay foi reconhecida pelo Guinness World Records como detentora do maior volume de redações manuscritas corrigidas por inteligência artificial em um único mês. O recorde foi conquistado no contexto do Projeto Enem MG, em parceria com a Secretaria de Estado de Educação de Minas Gerais, com cerca de 461.100 redações corrigidas entre setembro e outubro de 2025.

No total, o sistema da EstudoPlay já processou perto de 5 milhões de redações manuscritas — número que, em volume, posiciona a empresa como referência mundial na aplicação de IA para avaliação textual em larga escala.

Reportagem do G1 Paraíba sobre o recorde: https://g1.globo.com/pb/paraiba/noticia/2026/04/11/empresa-da-paraiba-e-reconhecida-pelo-guinness-com-recorde-mundial-de-correcao-de-redacoes-com-ia.ghtml

---

Autores: Felipe Duarte, Nicholas Rodrigues, José Augusto, Guilherme Huther, Tiago Trindade",Educação;EdTech;Redação,,,https://g1.globo.com/pb/paraiba/noticia/2026/04/11/empresa-da-paraiba-e-reconhecida-pelo-guinness-com-recorde-mundial-de-correcao-de-redacoes-com-ia.ghtml,,TRIL,Felipe Duarte;Nicholas Rodrigues;José Augusto;Guilherme Huther;Tiago Trindade
Hack the Music,Extensão do Chrome que separa STEMs e transcreve letras/acordes de vídeos do YouTube — projeto vencedor do hackathon da Moises.,"## Sobre o projeto

Hack the Music é uma extensão do Google Chrome que usa as ferramentas da Music.ai — plataforma B2B da Moises — para transformar qualquer vídeo do YouTube em uma experiência interativa para músicos. Com a extensão ativa, o usuário pode acessar uma faixa, separar suas STEMs (vocais, baixo, bateria, instrumentos) e ainda visualizar a letra transcrita junto aos acordes da música, tudo a partir do reprodutor do próprio YouTube.

A inspiração de design vem dos apps da Moises, mas o projeto é open-source e independente — não é feito pela Moises. Foi desenvolvido pela equipe como uma exploração das possibilidades das ferramentas de IA musical da Music.ai aplicadas a um contexto de consumo cotidiano (assistir vídeo no YouTube).

## Hackathon

O projeto foi construído para um hackathon promovido pela Moises e venceu a competição. A escolha da extensão de navegador como formato — em vez de um app standalone — foi central para a proposta: encontra o usuário onde ele já está, sem exigir que ele migre para uma plataforma nova.

## Demo e divulgação

- Demonstração no YouTube: https://www.youtube.com/watch?v=IgrKDkZ-zOo
- Post no Instagram: https://www.instagram.com/p/C2-Oso8OhFk/

---

Autores: Guilherme Huther, Tiago Trindade, Felipe Duarte, Davi Nasiasene, Nicholas Rodrigues",Música;Hackathon;Chrome Extension,,https://www.youtube.com/watch?v=IgrKDkZ-zOo,https://www.instagram.com/p/C2-Oso8OhFk/,,TRIL,Guilherme Huther;Tiago Trindade;Felipe Duarte;Davi Nasiasene;Nicholas Rodrigues
Cobra,Aplicativo móvel que identifica a espécie de serpente a partir de uma foto e indica a unidade médica mais próxima com o soro antiofídico adequado.,"## Sobre o projeto

Cobra é um aplicativo móvel pensado para situações de emergência envolvendo picadas de serpente. Com uma foto da cobra, o app responde com a espécie provavelmente identificada e indica a unidade médica mais próxima que dispõe do soro antiofídico apropriado para aquele tipo de picada.

## Como funciona

A identificação se apoia em visão computacional — um modelo treinado para classificar espécies de serpentes a partir de imagens. Uma vez identificada a espécie, o app cruza essa informação com uma base de unidades de saúde para apontar onde o soro adequado está disponível, agilizando uma decisão que costuma ser crítica nos primeiros minutos após o acidente.

A combinação importa porque o atendimento ideal depende da espécie: cada tipo de soro funciona contra um conjunto específico de venenos, e nem toda unidade carrega todos os tipos. Identificar a cobra no campo e ir direto ao serviço correto pode reduzir significativamente o tempo até o tratamento adequado.

## Limitações e contexto

A acurácia do modelo depende da qualidade da foto e da representatividade da espécie no conjunto de treinamento — espécies raras ou em ângulos atípicos são mais difíceis de classificar com confiança. Por isso o app é pensado como um complemento ao atendimento profissional, nunca como um substituto: a recomendação é sempre buscar avaliação médica imediata, mesmo quando a identificação no app for incerta.

---

Autores: João Dantas, Juan Apolinario, Puca, José Augusto",Saúde;Mobile;Visão Computacional,,,,,TRIL,João Dantas;Juan Apolinario;Puca;José Augusto
Chatbot Matemática,Chatbot do WhatsApp que recebe foto de questões e ajuda alunos do ensino médio a estudar matemática para o Enem.,"Chatbot do WhatsApp construído para apoiar estudantes do ensino médio na preparação para o Enem, com foco na prova de matemática. O aluno tira uma foto da questão, manda para o chatbot e recebe a resolução comentada — desde a leitura do enunciado e explicação do passo a passo até a resposta final.

Em testes com questões reais de Enem de matemática, o sistema obteve pontuações altas, mostrando que a combinação de OCR (para extrair o enunciado da imagem), modelos de raciocínio matemático e geração de explicações em linguagem natural funciona bem nesse contexto educacional.

A escolha do WhatsApp como canal é estratégica: é o aplicativo mais usado pelo público-alvo, dispensa instalação de qualquer ferramenta nova e funciona em qualquer celular — incluindo aparelhos mais antigos sem espaço para apps adicionais. O aluno consegue tirar dúvida onde já está, sem fricção.

---

Autores: João Dantas, João Marcos, Puca, Fernando Filho",Educação;Enem;WhatsApp,,,,,TRIL,João Dantas;João Marcos;Puca;Fernando Filho
Monitoria,Aplicativo móvel para gerir programas de monitoria escolar — cadastro de monitores e alunos e match automático de horários e disciplinas.,"## Sobre o projeto

Aplicativo móvel para gerir programas de monitoria escolar de ponta a ponta. A plataforma permite cadastrar monitores e alunos, organizar horários disponíveis e realizar o match entre quem precisa de ajuda e quem pode oferecer — eliminando a planilha compartilhada e os grupos de WhatsApp que costumam ser o ponto de partida em escolas que ainda fazem essa gestão de forma manual.

## Funcionalidades

- Cadastro independente de monitores e alunos, com seus dados básicos e disciplinas de interesse
- Gestão de horários: cada monitor cadastra sua disponibilidade, cada aluno marca o slot que cabe na sua rotina
- Match automático entre demandas e ofertas, considerando disciplina, horário e capacidade
- Acompanhamento e gestão das fichas de presença e das sessões realizadas

## Diferencial

A proposta é trazer estrutura para um processo que historicamente foi gerido em planilhas dispersas. Para a coordenação pedagógica, isso significa visibilidade real sobre o programa de monitoria — quem está sendo atendido, quais disciplinas têm mais demanda, onde estão as lacunas. Para monitores e alunos, é menos fricção para começar a estudar junto.

---

Autores: Guilherme Huther, Tiago Trindade, Felipe Duarte, Davi Nasiasene",Educação;Mobile,,,,,TRIL,Guilherme Huther;Tiago Trindade;Felipe Duarte;Davi Nasiasene
Predição de Mercado de Opções (B3),"Modelo de IA que prevê movimentos no mercado de opções a partir da análise em larga escala de notícias financeiras, com uso de LLMs no pipeline.","Projeto de predição de valores no mercado de opções a partir da análise de notícias em larga escala. A solução combina treinamento de modelos de IA — incluindo LLMs — para extrair sinais de notícias financeiras e antecipar movimentos no mercado de derivativos.

A ideia central é que muito do que se reflete em preços de opções acontece primeiro em texto: notícias de empresa, anúncios regulatórios, comentários de analistas, atas de comitês. Capturar e processar esse fluxo em volume — algo inviável manualmente — abre uma janela para sinais que ainda não foram totalmente incorporados ao preço.

O pipeline cobre desde a coleta e normalização das notícias até o treinamento dos modelos preditivos, com avaliação contínua dos resultados frente ao mercado real.

---

Autores: Daniel Victor, João Fahning, Guilherme Huther, Tiago Trindade, Ralf, Victor",Finanças;Mercado de Opções;LLM,,,,,TRIL,Daniel Victor;João Fahning;Guilherme Huther;Tiago Trindade;Ralf;Victor
Softcom,"Chatbot do WhatsApp para o vendedor gerenciar estoque, preços e operação comercial sem sair do app.","Chatbot do WhatsApp construído para que vendedores possam gerenciar a operação inteira dentro do próprio WhatsApp: consulta de estoque, preços, valores, situação de pedidos e demais informações do dia a dia comercial. A proposta era eliminar a fricção de alternar entre o ERP, planilhas e o canal de comunicação com o cliente — concentrando tudo no app que o vendedor já usa.

Com isso, o vendedor consegue responder imediatamente a uma dúvida do cliente sobre disponibilidade ou preço, sem precisar parar a conversa para consultar outro sistema. Em equipes pequenas e médias, esse tipo de redução de overhead se traduz em mais conversas convertendo em venda.

---",Vendas;WhatsApp,,,,,TRIL,
Correção de Redações por IA (Cebraspe),Sistema de correção automática de redações por IA usado em concursos da Cebraspe — corrigiu milhares de redações em produção.,"Sistema de correção automática de redações por IA construído em parceria com a Cebraspe, uma das principais bancas de avaliação do Brasil. A solução foi colocada em produção em concursos da banca, corrigindo milhares de redações com modelos treinados especificamente para os critérios de avaliação adotados nesses contextos.

A correção automatizada complementa o processo tradicional, viabilizando escala em correções consistentes e padronizadas — particularmente útil em concursos com volumes altos de candidatos, onde a correção 100% manual seria demorada e custosa de garantir uniforme.

---

Autores: Ralf, Victor",Educação;Redação;IA,,,,,TRIL,Ralf;Victor
Processamento de Documentos em Larga Escala (Cebraspe),"Plataforma que extrai dados estruturados de imagens de folhas via visão computacional — marcações, assinaturas, identificadores — para fluxos com milhões de páginas.","Plataforma que gerencia e realiza o processamento automatizado de documentos via visão computacional. A ferramenta extrai dados estruturados de imagens de folhas — marcações em cartões-resposta, assinaturas, identificadores e outros campos — para alimentar fluxos posteriores de correção, conferência e auditoria.

O caso de uso mais expressivo foi o processamento de provas de larga escala como o ENEM: milhões de folhas digitalizadas passam pelo pipeline, que identifica e extrai cada elemento relevante de cada página com precisão suficiente para suportar a correção em escala nacional. A mesma plataforma se aplica a qualquer fluxo que envolva grandes volumes de papéis a serem digitalizados e classificados — concursos, vestibulares, avaliações institucionais.

---

Autores: Ralf, Victor",OCR;Visão Computacional;Documentos,,,,,TRIL,Ralf;Victor
Apoio Jurídico com IA (Cebraspe),IA que assiste advogados no preenchimento e elaboração de processos — composição de petições e organização documental.,"Ferramenta de IA voltada ao auxílio em fluxos jurídicos. A solução apoia profissionais do direito no preenchimento e na elaboração de processos, automatizando partes repetitivas do trabalho — composição de petições, recuperação de jurisprudência relevante, organização de documentação — para que o tempo do advogado fique concentrado nas decisões que de fato exigem julgamento humano.

A proposta é tratar a IA como um assistente especializado em texto jurídico: rápido em rascunhos e em busca, treinado para o vocabulário e a estrutura dos documentos do setor, mas sempre subordinado à revisão profissional.

---

Autores: Ralf, Victor",Jurídico;LLM,,,,,TRIL,Ralf;Victor
Geração de Questões com IA (Cebraspe),Plataforma completa para gerar e avaliar questões de prova para diferentes tipos de avaliação.,"Plataforma completa para a geração e avaliação automática de questões de prova, voltada a múltiplos formatos de avaliação (concursos, vestibulares, avaliações educacionais). O sistema combina geração baseada em IA com fluxos de revisão e validação, permitindo que bancas e instituições produzam itens em escala mantendo controle de qualidade.

Além da geração, a plataforma cobre etapas adicionais do ciclo de vida do item: classificação por tópico e dificuldade, análise de adequação aos critérios da prova-alvo, e organização do banco de questões para reaproveitamento e versionamento.

---

Autores: Ralf, Victor",Educação;Avaliação;LLM,,,,,TRIL,Ralf;Victor
